,Unnamed: 0,datedict,timedict,BLlist,BRList,entp,extp,percandlev,Fcv,VpTotal,VnTotal,Real,Predicted,Real_Predicted,abc,Won_Mode,Loose_Mode
40,40,2023-06-05,12:46:00,BL_2982.165,-_-2233.778,793.8,792.05,-3964.99,323.269,187181.655,-246656.49,Loose,Loose,Loose_Loose,-31.77385892864342,-17.493423553699216,-27.295862122517832
41,41,2023-06-06,11:16:00,BL_1859.807,-_-1299.549,789.6,786.2,-934.65,-213.678,46658.727,-60678.459,Loose,Loose,Loose_Loose,-30.047394992152277,-17.493423553699216,-27.295862122517832
42,42,2023-06-07,11:46:00,_9769.106,BR_-15705.368,812.0,818.8,-17789.56,1687.562,637476.378,-904319.812,WON,Loose,WON_Loose,-41.85934462970798,-17.493423553699216,-27.295862122517832
43,43,2023-06-09,11:16:00,BL_3568.059,-_-3471.665,806.7,802.6,-766.51,-400.944,121848.291,-133345.935,Loose,Loose,Loose_Loose,-9.43603222141212,-17.493423553699216,-27.295862122517832
44,44,2023-06-12,11:16:00,_4399.23,BR_-6478.138,804.65,801.0,-1045.43,739.411,184809.51,-200491.02,Loose,Loose,Loose_Loose,-8.485228925719241,-17.493423553699216,-27.295862122517832
45,45,2023-06-12,13:01:00,_20030.416,BR_-22376.315,801.55,801.45,-26840.66,-2516.31,1783417.488,-2186027.392,Loose,Loose,Loose_Loose,-22.575190986351927,-17.493423553699216,-27.295862122517832
46,46,2023-06-13,10:46:00,BL_9493.495,-_-6053.623,813.3,819.9,2910.86,-1071.512,213441.081,-169778.154,WON,WON,WON_WON,20.456665040972112,-17.493423553699216,-27.295862122517832
47,47,2023-06-13,12:31:00,_15823.296,BR_-17032.933,818.6,819.45,14992.86,1796.567,1375168.2,-1150275.294,WON,WON,WON_WON,16.353847187565847,-17.493423553699216,-27.295862122517832
48,48,2023-06-14,10:16:00,BL_18052.174,-_-17463.267,852.65,860.0,356.14,2771.889,142947.06,-137604.885,WON,WON,WON_WON,3.737170250301048,-17.493423553699216,-27.295862122517832
49,49,2023-06-14,10:46:00,BL_27951.64,-_-26616.038,853.4,860.4,-4957.99,3195.501,427266.63,-501636.527,WON,Loose,WON_Loose,-17.405968961348563,-17.493423553699216,-27.295862122517832
50,50,2023-06-14,12:46:00,_37733.637,BR_-58079.73,860.3,862.55,-35708.89,5461.859,4144451.790000001,-4680085.095,WON,Loose,WON_Loose,-12.924105096177243,-17.493423553699216,-27.295862122517832
51,51,2023-06-15,12:01:00,BL_13466.603,-_-13155.502,862.9,865.35,19753.77,1968.977,1379488.392,-1083181.7999999998,WON,WON,WON_WON,21.47945526170112,-17.493423553699216,-27.295862122517832
52,52,2023-06-15,14:16:00,BL_20383.598,-_-18893.898,866.25,862.4,12994.86,-2587.766,4924069.836,-4729146.954,Loose,WON,Loose_WON,3.9585726541673694,-17.493423553699216,-27.295862122517832
53,53,2023-06-16,10:01:00,_1949.032,BR_-2198.771,861.75,858.05,-200.34,-418.162,18385.068,-21390.12,Loose,Loose,Loose_Loose,-16.34506872642517,-17.493423553699216,-27.295862122517832
54,54,2023-06-16,13:16:00,_5148.034,BR_-6706.915,859.55,862.6,-5091.28,871.874,1000718.124,-1077087.309,WON,Loose,WON_Loose,-7.6314381810876455,-17.493423553699216,-27.295862122517832
55,55,2023-06-19,14:01:00,_5469.62,BR_-5781.137,857.8,856.85,-24032.4,937.476,1188819.68,-1549305.62,Loose,Loose,Loose_Loose,-30.323012485796,-17.493423553699216,-27.295862122517832
56,56,2023-06-20,11:01:00,_1294.143,BR_-1481.795,849.95,857.0,1563.15,331.843,86939.776,-63492.512,WON,WON,WON_WON,26.969547287538447,-17.493423553699216,-27.295862122517832
57,57,2023-06-20,14:01:00,BL_5650.002,-_-5512.954,858.05,859.05,-21.19,-818.877,988417.86,-988735.72,WON,Loose,WON_Loose,-0.03215846383027099,-17.493423553699216,-27.295862122517832
58,58,2023-06-21,13:01:00,BL_10103.054,-_-7004.608,861.6,858.0,-1515.44,-1019.251,1093714.496,-1116446.112,Loose,Loose,Loose_Loose,-2.0783866432360014,-17.493423553699216,-27.295862122517832
59,59,2023-06-22,11:31:00,BL_2771.03,-_-2647.94,851.4,847.4,-2162.17,-406.233,130077.28,-162509.81,Loose,Loose,Loose_Loose,-24.933278125126847,-17.493423553699216,-27.295862122517832
60,60,2023-06-23,11:01:00,_2094.561,BR_-2244.801,842.75,840.6,-708.08,-306.416,68553.432,-79174.608,Loose,Loose,Loose_Loose,-15.49328121165398,-17.493423553699216,-27.295862122517832
61,61,2023-06-23,12:31:00,BL_3125.613,-_-2908.951,845.6,842.15,-670.34,-421.744,313287.618,-323342.754,Loose,Loose,Loose_Loose,-3.2095542314091716,-17.493423553699216,-27.295862122517832
62,62,2023-06-23,13:46:00,BL_6979.731,-_-3821.171,845.6,841.4,4005.76,-594.818,739828.3080000001,-679741.91,Loose,WON,Loose_WON,8.12166787216259,-17.493423553699216,-27.295862122517832
63,63,2023-06-26,13:01:00,BL_22048.137,-_-19527.391,856.9,864.4,-23486.24,-2225.089,2639430.352,-2991723.92,WON,Loose,WON_Loose,-13.347333364301633,-17.493423553699216,-27.295862122517832
64,64,2023-06-26,13:46:00,BL_25431.743,-_-13694.938,858.9,862.7,-5459.92,2347.456,4198445.276000001,-4280344.13,WON,Loose,WON_Loose,-1.9506948076271584,-17.493423553699216,-27.295862122517832
65,65,2023-06-27,11:16:00,BL_4541.816,-_-3487.297,859.1,855.2,-1060.15,534.3,137198.583,-153100.88999999998,Loose,Loose,Loose_Loose,-11.590722478525862,-17.493423553699216,-27.295862122517832
66,66,2023-06-28,10:46:00,_1560.093,BR_-1943.935,856.45,852.9,-401.94,-267.998,38965.633,-44994.705,Loose,Loose,Loose_Loose,-15.472793679497002,-17.493423553699216,-27.295862122517832
67,67,2023-06-28,11:46:00,BL_2941.726,-_-1882.914,857.55,853.85,-849.39,339.144,134157.892,-146898.774,Loose,Loose,Loose_Loose,-9.496930676281053,-17.493423553699216,-27.295862122517832
68,68,2023-06-30,10:16:00,BL_2041.962,-_-1625.976,853.4,860.4,-564.11,-270.94,17452.96,-25914.59,WON,Loose,WON_Loose,-48.48249236805677,-17.493423553699216,-27.295862122517832
